BANSKOBYSTRICKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES BANSKÁ BYSTRICA;;;;;;;;;;;;;;;;;;;;;;;;;
Čakanovce;obec;;;;;;;;;;;;nie;nie;áno;áno;71;100.0;0.0;0.0;7.0;98.6;415;5.8;44.0
Čakanovce;obec;intravilán;na okraji;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;iná;;;;;20;100.0;0.0;0.0;0.0;100.0;60;3.0;
Čakanovce;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;čiastočne;áno;;;;;;51;100.0;0.0;0.0;9.8;98.0;355;7.0;
Čamovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;čiastočne;nie;áno;;áno;nie;čiastočne;čiastočne;30;100.0;56.7;0.0;0.0;80.0;187;6.2;34.7
Divín;obec;;;;;;;;;;;;áno;čiastočne;áno;áno;35;91.4;91.4;0.0;17.1;91.4;158;4.5;7.8
Divín;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;asfaltová;;;;;19;100.0;100.0;0.0;31.6;100.0;98;5.2;
Divín;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;čiastočne;áno;asfaltová;;;;;8;87.5;87.5;0.0;0.0;87.5;38;5.6;
Divín;obec;intravilán;mimo obce;100;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;iná;;;;;8;75.0;75.0;0.0;0.0;75.0;22;2.8;
Fiľakovo;mesto;;;;;;;;;;;;áno;čiastočne;čiastočne;čiastočne;*;*;*;*;*;*;2500;*;*
Fiľakovo;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;;;;;56;100.0;100.0;100.0;100.0;100.0;200;3.6;
Fiľakovo;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;*;;;;;55;100.0;100.0;100.0;100.0;100.0;200;3.6;
Fiľakovo;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;*;;;;;30;100.0;0.0;100.0;100.0;100.0;150;5.0;
Fiľakovo;mesto;intravilán;na okraji;;;nevysporiadané;nie;nie;nie;nie;áno;iná;;;;;11;18.2;0.0;0.0;0.0;0.0;10;0.9;
Fiľakovo;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;nie;áno;*;;;;;5;100.0;100.0;0.0;0.0;100.0;30;6.0;
Fiľakovské Kováče;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;čiastočne;áno;;nie;nie;áno;čiastočne;50;100.0;0.0;0.0;60.0;100.0;374;7.5;42.0
