TRNAVSKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
Kúty;obec;intravilán;integrované/koncentrované;;;nevysporiadané;áno;nie;áno;áno;áno;asfaltová;;;;;13;100.0;100.0;0.0;0.0;100.0;120;10.8;
Lakšárska Nová Ves;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;12;100.0;33.3;0.0;0.0;100.0;76;6.3;7.4
Osuské;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;5;100.0;100.0;0.0;0.0;100.0;27;5.4;4.4
Senica;mesto;;;;;;;;;;;;áno;čiastočne;áno;áno;108;100.0;100.0;56.5;69.4;100.0;437;4.0;2.0
Senica;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;;;;;50;100.0;100.0;30.0;46.0;100.0;254;5.1;
Senica;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;;;;;18;100.0;100.0;100.0;100.0;100.0;75;4.2;
Senica;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;28;100.0;100.0;100.0;100.0;100.0;78;2.8;
Senica;mesto;*;na okraji;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;asfaltová;;;;;12;100.0;100.0;0.0;50.0;100.0;30;2.5;
Šajdíkové Humence;obec;;;;;;;;;;;;áno;áno;áno;áno;12;91.7;100.0;0.0;41.7;100.0;49;4.2;4.4
Šajdíkové Humence;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;čiastočne;áno;áno;áno;;;;;;5;100.0;100.0;0.0;100.0;100.0;29;5.8;
Šajdíkové Humence;obec;extravilán;mimo obce;150;;vysporiadané;áno;nie;áno;nie;áno;iná;;;;;7;85.7;100.0;0.0;0.0;100.0;20;3.0;
Šaštín - Stráže;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;čiastočne;áno;áno;55;100.0;100.0;0.0;12.7;100.0;570;10.4;11.4
Štefanov ;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;áno;áno;áno;áno;iná;áno;áno;áno;áno;35;22.9;28.6;14.3;14.3;100.0;258;7.5;15.6
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES SKALICA;;;;;;;;;;;;;;;;;;;;;;;;;
Brodské;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;áno;áno;áno;áno;;áno;áno;áno;áno;39;97.4;61.5;61.5;71.8;97.4;162;4.2;6.9
Dubovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;áno;áno;;nie;nie;áno;áno;10;100.0;0.0;0.0;20.0;100.0;68;7.0;10.1
Gbely;mesto;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;áno;áno;;áno;čiastočne;áno;áno;29;58.6;55.2;55.2;48.3;93.1;210;7.2;4.1
Holíč;mesto;;;;;;;;;;;;áno;áno;áno;áno;56;100.0;100.0;39.3;0.0;100.0;237;4.8;2.1
Holíč;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;nie;áno;asfaltová;;;;;22;100.0;100.0;100.0;0.0;100.0;98;4.5;
Holíč;mesto;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;áno;áno;áno;áno;áno;iná;;;;;34;100.0;100.0;0.0;0.0;100.0;139;5.0;
Kopčany;obec;;;;;;;;;;;;áno;čiastočne;áno;áno;31;100.0;35.5;0.0;0.0;100.0;267;8.6;10.5
Kopčany;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;áno;áno;;;;;;20;100.0;35.0;0.0;0.0;100.0;144;7.2;
Kopčany;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;čiastočne;áno;asfaltová;;;;;11;100.0;36.4;0.0;0.0;100.0;123;11.2;
Popudinské Močidlany;obec;;;;;;;;;;;;áno;nie;áno;áno;10;90.0;0.0;0.0;20.0;90.0;45;4.5;5.2
Popudinské Močidlany;obec;intravilán;na okraji;;;vysporiadané;nie;nie;áno;nie;áno;iná;;;;;8;87.5;0.0;0.0;0.0;87.5;37;4.6;
Popudinské Močidlany;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;áno;áno;;;;;;2;100.0;0.0;0.0;100.0;100.0;8;4.0;
Radošovce;obec;intravilán;na okraji;;;vysporiadané;nie;nie;áno;nie;áno;asfaltová;áno;nie;áno;áno;2;100.0;0.0;0.0;0.0;50.0;8;5.0;0.4
